pl_discmethod	pl_pnum	st_metfe	pl_orbper	pl_orbeccen	pl_orbincl	pl_bmassj	pl_bmassprov	pl_radj	pl_dens	st_teff	st_mass	st_rad	st_logg	st_lum	st_dens	st_metfe
Transit	1	-0.15	41.6855	0	89.55	0.05129	Mass	0.199	7.89	5766	0.96	0.93	4.5	-0.056	1.7	-0.15
Transit	1	-0.3	1.5089557	0	85.1	1.03	Mass	1.49	0.38	5950	0.95	1.11	4.25			-0.3
Transit	1	0.26	13.2406	0.53	88.55	2.75	Mass	0.97	3.7	5075	0.89	0.79	4.65		3.32	0.26
Transit	1	-0.03	2.99433	0	83.17	2.33	Mass	1.43	0.99	6440	1.27	1.37	4.22		0.69	-0.03
Transit	1	0.16	2.828042	0.07	85.48	0.917	Mass	1.44	0.411	5675	1.08	1.12	4.38		1.08	0.16
Transit	1	0.01	4.03519	0	88.02	1.308	Mass	0.885	2.34	5945	1.09	1.01	4.46		1.468	0.01
Transit	1	0.05	1.51214	0	79.6	7.6	Mass	1.09	7.3	6035	1.13	1.21	4.35		0.91	0.05
Transit	1	0.19	5.35227	0.33	85.01	0.535	Mass	1.17	0.44	5650	1.1	1.19	4.36		0.93	0.19
Transit	1	0	3.7681	0	88.34	2.43	Mass	1.02	2.82	5740	1.04	1.59	4.4		0.32	0
Transit	1	-0.1	1.9000693	0.08	86.5	3.47	Mass	1.31	2.2	5440	0.95	1	4.4		1.35	-0.1
Transit	1	-0.02	3.89713	0.047	88	1.11	Mass	1.29	0.71	6090	1.21	1.65	4.07	0.544	0.38	-0.02
Transit	1	0.14	9.24285	0.562	88.21	4.24	Mass	0.84	8.87	5880	1.14	1.02	4.2		1.51	0.14
Transit	1	0.17	9.75598	0.077	89.749	0.038	Mass	0.435	0.249	5939	1.1	1.14	4.36		1.027	0.17
Transit	1	0.05	3.6313	0.16	85.7	2.8	Mass	1.05	3	5900	1.14	1.61	4.3		0.5	0.05
Transit	1	-0.01	4.86069	0	84.5	0.27	Mass	1.08	0.15	6040	1.09	1.19	4.31			-0.01
Transit	1	0.01	4.20474	0	86.8	0.52	Mass	1.26	0.28	5590	1.09	1.79	3.99			0.01
Transit	1	-0.1	3.57532	0.065	86.7	10.39	Mass	1.007	12.6	5900	1.05	1.08	4.4		1.24	-0.1
Transit	1	0.15	5.20851	0.047	88.1	0.484	Mass	0.955	0.69	5150	1.01	1.78	3.6		0.27	0.15
Transit	1	0.2	2.85057	0.082	87.3	0.85	Mass	0.9	1.45	5260	0.97	0.9	4.3		1.825	0.2
Transit	1	-0.25	4.0378962	0.09	85.83	0.467	Mass	1.388	0.217	6100	1	1.19	4.19			-0.25
Transit	1	-0.2	8.886593	0.1	89.07	2.96	Mass	1.166	2.32	6090	1.05	1.02	4.43			-0.2
