pl_pnum	pl_bmassj	st_teff	st_mass	st_rad	st_metfe	B_V	nuts	st_metfe		multiP
2	21.42	4137	2.8	49	-1		4137	-1	2	-1
2	12.47	4137	2.8	49	-1		4137	-1	2	-1
3		5524		0.88	-0.951		5524	-0.951	3	-0.951
3		5524		0.88	-0.951		5524	-0.951	3	-0.951
3		5524		0.88	-0.951		5524	-0.951	3	-0.951
2		4625		0.66	-0.911		4625	-0.911	2	-0.911
2		4625		0.66	-0.911		4625	-0.911	2	-0.911
3		4347	0.51	0.49	-0.85		4347	-0.85	3	-0.85
3		4347	0.51	0.49	-0.85		4347	-0.85	3	-0.85
3		4347	0.51	0.49	-0.85		4347	-0.85	3	-0.85
3		5502		0.68	-0.827		5502	-0.827	3	-0.827
3		5502		0.68	-0.827		5502	-0.827	3	-0.827
3		5502		0.68	-0.827		5502	-0.827	3	-0.827
2		6031	0.78	0.95	-0.786		6031	-0.786	2	-0.786
2		6031	0.78	0.95	-0.786		6031	-0.786	2	-0.786
3		5711	0.81	1.35	-0.777		5711	-0.777	3	-0.777
3		5711	0.81	1.35	-0.777		5711	-0.777	3	-0.777
3		5711	0.81	1.35	-0.777		5711	-0.777	3	-0.777
2		4559		0.65	-0.748		4559	-0.748	2	-0.748
2		4559		0.65	-0.748		4559	-0.748	2	-0.748
2		5788	0.77	0.72	-0.718		5788	-0.718	2	-0.718
2		5788	0.77	0.72	-0.718		5788	-0.718	2	-0.718
2	0.117	6022	1.32	1.85	-0.674		6022	-0.674	2	-0.674
2	0.25	6022	1.32	1.85	-0.674		6022	-0.674	2	-0.674
2		4208	0.52	0.55	-0.67		4208	-0.67	2	-0.67
2		4208	0.52	0.55	-0.67		4208	-0.67	2	-0.67
4		5739	0.77	1.03	-0.618		5739	-0.618	4	-0.618
4		5739	0.77	1.03	-0.618		5739	-0.618	4	-0.618
4		5739	0.77	1.03	-0.618		5739	-0.618	4	-0.618
4		5739	0.77	1.03	-0.618		5739	-0.618	4	-0.618
2		5544		0.84	-0.588		5544	-0.588	2	-0.588
2		5544		0.84	-0.588		5544	-0.588	2	-0.588
2		4257	0.53	0.52	-0.572		4257	-0.572	2	-0.572
2		4257	0.53	0.52	-0.572		4257	-0.572	2	-0.572
3		6363	1.1	1.75	-0.57		6363	-0.57	3	-0.57
3	0.155	6363	1.1	1.75	-0.57		6363	-0.57	3	-0.57
3	0.118	6363	1.1	1.75	-0.57		6363	-0.57	3	-0.57
2		5577	0.76	0.88	-0.567		5577	-0.567	2	-0.567
2		5577	0.76	0.88	-0.567		5577	-0.567	2	-0.567
3		4880		0.62	-0.556		4880	-0.556	3	-0.556
3		4880		0.62	-0.556		4880	-0.556	3	-0.556
3		4880		0.62	-0.556		4880	-0.556	3	-0.556
5	0.018	3350	0.33		-0.55		3350	-0.55	5	-0.55
5	0.012	3350	0.33		-0.55		3350	-0.55	5	-0.55
5	0.008	3350	0.33		-0.55		3350	-0.55	5	-0.55
5	0.008	3350	0.33		-0.55		3350	-0.55	5	-0.55
5	0.014	3350	0.33		-0.55		3350	-0.55	5	-0.55
5		5046	0.76	0.75	-0.55	0.8	5046	-0.55	5	-0.55
5		5046	0.76	0.75	-0.55	0.8	5046	-0.55	5	-0.55
5		5046	0.76	0.75	-0.55	0.8	5046	-0.55	5	-0.55
5		5046	0.76	0.75	-0.55	0.8	5046	-0.55	5	-0.55
5		5046	0.76	0.75	-0.55	0.8	5046	-0.55	5	-0.55
2		5166	0.67	0.78	-0.539		5166	-0.539	2	-0.539
2		5166	0.67	0.78	-0.539		5166	-0.539	2	-0.539
3		4984		0.64	-0.535		4984	-0.535	3	-0.535
3		4984		0.64	-0.535		4984	-0.535	3	-0.535
3		4984		0.64	-0.535		4984	-0.535	3	-0.535
4		6004		1.12	-0.533		6004	-0.533	4	-0.533
4		6004		1.12	-0.533		6004	-0.533	4	-0.533
4		6004		1.12	-0.533		6004	-0.533	4	-0.533
4		6004		1.12	-0.533		6004	-0.533	4	-0.533
3		4500	0.64	0.59	-0.524		4500	-0.524	3	-0.524
3		4500	0.64	0.59	-0.524		4500	-0.524	3	-0.524
3		4500	0.64	0.59	-0.524		4500	-0.524	3	-0.524
2		5949	0.88	1.22	-0.497		5949	-0.497	2	-0.497
2		5949	0.88	1.22	-0.497		5949	-0.497	2	-0.497
2		5502	0.71	2.02	-0.489		5502	-0.489	2	-0.489
2		5502	0.71	2.02	-0.489		5502	-0.489	2	-0.489
2		4204	0.53	0.52	-0.48		4204	-0.48	2	-0.48
2		4204	0.53	0.52	-0.48		4204	-0.48	2	-0.48
2		5626		0.81	-0.478		5626	-0.478	2	-0.478
2		5626		0.81	-0.478		5626	-0.478	2	-0.478
2		4259	0.54	0.53	-0.472		4259	-0.472	2	-0.472
2		4259	0.54	0.53	-0.472		4259	-0.472	2	-0.472
2		4094	0.54	0.53	-0.45		4094	-0.45	2	-0.45
2		4094	0.54	0.53	-0.45		4094	-0.45	2	-0.45
2		4096		0.53	-0.449		4096	-0.449	2	-0.449
2		4096		0.53	-0.449		4096	-0.449	2	-0.449
3		5977	0.84	0.91	-0.441		5977	-0.441	3	-0.441
3		5977	0.84	0.91	-0.441		5977	-0.441	3	-0.441
3		5977	0.84	0.91	-0.441		5977	-0.441	3	-0.441
3	0.675		0.85		-0.44	0.694	0	-0.44	3	-0.44
3	0.652		0.85		-0.44	0.694	0	-0.44	3	-0.44
3	0.696		0.85		-0.44	0.694	0	-0.44	3	-0.44
4		5243	0.72	0.82	-0.413		5243	-0.413	4	-0.413
4		5243	0.72	0.82	-0.413		5243	-0.413	4	-0.413
4		5243	0.72	0.82	-0.413		5243	-0.413	4	-0.413
4		5243	0.72	0.82	-0.413		5243	-0.413	4	-0.413
2		5796	0.78	1.04	-0.403		5796	-0.403	2	-0.403
2		5796	0.78	1.04	-0.403		5796	-0.403	2	-0.403
3		5867	0.89	1.3	-0.401		5867	-0.401	3	-0.401
3		5867	0.89	1.3	-0.401		5867	-0.401	3	-0.401
3		5867	0.89	1.3	-0.401		5867	-0.401	3	-0.401
4	0.0085	5401	0.7		-0.4	0.71	5401	-0.4	4	-0.4
4	0.0076	5401	0.7		-0.4	0.71	5401	-0.4	4	-0.4
4	0.015	5401	0.7		-0.4	0.71	5401	-0.4	4	-0.4
4	0.01501	5401	0.7		-0.4	0.71	5401	-0.4	4	-0.4
5		5690	0.89	1	-0.391		5690	-0.391	5	-0.391
5		5690	0.89	1	-0.391		5690	-0.391	5	-0.391
5		5690	0.89	1	-0.391		5690	-0.391	5	-0.391
5		5690	0.89	1	-0.391		5690	-0.391	5	-0.391
5		5690	0.89	1	-0.391		5690	-0.391	5	-0.391
2		5311		0.7	-0.38		5311	-0.38	2	-0.38
2		5311		0.7	-0.38		5311	-0.38	2	-0.38
2		6340	1.07	1.24	-0.38		6340	-0.38	2	-0.38
2		6340	1.07	1.24	-0.38		6340	-0.38	2	-0.38
4		5602	0.97	0.9	-0.374		5602	-0.374	4	-0.374
4		5602	0.97	0.9	-0.374		5602	-0.374	4	-0.374
4	0.192	5602	0.97	0.9	-0.374		5602	-0.374	4	-0.374
4	0.177	5602	0.97	0.9	-0.374		5602	-0.374	4	-0.374
5	0.03	4925	0.69	0.64	-0.37		4925	-0.37	5	-0.37
5	0.013	4925	0.69	0.64	-0.37		4925	-0.37	5	-0.37
5	0.044	4925	0.69	0.64	-0.37		4925	-0.37	5	-0.37
5	0.113	4925	0.69	0.64	-0.37		4925	-0.37	5	-0.37
5	0.11	4925	0.69	0.64	-0.37		4925	-0.37	5	-0.37
2		4508	0.58	0.62	-0.363		4508	-0.363	2	-0.363
2		4508	0.58	0.62	-0.363		4508	-0.363	2	-0.363
2		5857		0.88	-0.361		5857	-0.361	2	-0.361
2		5857		0.88	-0.361		5857	-0.361	2	-0.361
2		6169		1.35	-0.359		6169	-0.359	2	-0.359
2		6169		1.35	-0.359		6169	-0.359	2	-0.359
2		6105	0.85	1.29	-0.345		6105	-0.345	2	-0.345
2		6105	0.85	1.29	-0.345		6105	-0.345	2	-0.345
3		5788		0.87	-0.338		5788	-0.338	3	-0.338
3		5788		0.87	-0.338		5788	-0.338	3	-0.338
3		5788		0.87	-0.338		5788	-0.338	3	-0.338
3		5603		0.9	-0.332		5603	-0.332	3	-0.332
3		5603		0.9	-0.332		5603	-0.332	3	-0.332
3		5603		0.9	-0.332		5603	-0.332	3	-0.332
3		3068	0.13	0.17	-0.33		3068	-0.33	3	-0.33
3		3068	0.13	0.17	-0.33		3068	-0.33	3	-0.33
3		3068	0.13	0.17	-0.33		3068	-0.33	3	-0.33
2		3930	0.61	0.57	-0.33	1.384	3930	-0.33	2	-0.33
