pl_pnum	pl_orbper	pl_orbsmax	pl_orbeccen	pl_orbincl	pl_bmassj	st_metfe
1	0.09070629	0.0044	0.06		1.2	
2	0.240104	0.006		65	0.0014	-0.106
3	0.45328509	0.006				-0.33
2	0.342887	0.0076		65	0.0021	-0.106
1	0.381078	0.0088			1.4	0.03
7	1.51087081	0.01111	0.081	89.65	0.00267	0.04
3	1.2137672	0.0116				-0.33
1	0.684533	0.01263				
5	0.74296	0.013				0
1	1.58040456	0.01411		88.17	0.0197	0
1	0.813475	0.0142	0	82.6	1.78	
1	1.096026	0.01462				
7	2.4218233	0.01521	0.083	89.67	0.00434	0.04
1	1.6289287	0.01533		86.58	0.00513	
3	1.865169	0.0154				-0.33
5	0.736539	0.01544		83.3	0.02542	0.31
3	1.96876	0.01557	0		0.00236	-0.26
1	0.78883899	0.01634	0.002	78.78	1.069	0.15
1	1.419549	0.0164				
2	0.85359159	0.017016	0	80.78	0.018	0.138
2	0.837491	0.0172		85.1	0.0145	-0.15
4	0.789636	0.0173	0.03	86.2	0.02863	0.36
5	0.9867873	0.0175		86.5		0.04
1	0.8378434	0.01761	0.166	85.5	1.98	0.28
3	0.959641	0.01815	0	83.4	0.01579	0.04
1	1.0187068	0.01855	0	83.55	1.12	0.2
3	1.22003	0.0197	0.19		0.0056	-0.3
1	0.925542	0.01985		86.3	1.49	0.06
1	0.94145299	0.02026	0.0092	86	10.43	
1	0.9689951	0.02044	0	84.4	2.75	-0.002
4	1.93778	0.020807	0.207	59	0.021	0.05
3	3.06008	0.0209	0.04		0.00308	-0.26
1	2.260455	0.0214	0	88.9		0.26
7	4.04961	0.02144	0.07	89.75	0.00129	0.04
1	1.33711647	0.02153	0	86.12	2.494	0.02
1	1.25785	0.022	0	79.9	1.774	0.08
1	1.7292684	0.0224				
1	1.30618581	0.02282	0	81.85	1.91	
1	1.4324752	0.02289		87.8	1.26	
1	1.354133	0.023	0	87.2	1.345	0.15
2	1.42266	0.023		87.75		-0.03
1	1.21288287	0.02302	0	85.74	2.07	0.13
1	1.4200242	0.02332	0	84.08	1.294	0.171
1	1.43036763	0.02335		82.8	1.91	-0.3
1	1.0914203	0.0234	0	83.37	1.47	0.33
1	1.327347	0.0238	0.063	86	1.832	
1	1.2119189	0.02383		77.6	1.39	
2	1.937055	0.024				0.102
1	1.3600309	0.024	0	89.4	1.76	0
1	1.4013794	0.0243	0	82	1.9	0.02
1	1.48224686	0.02459		84.27	1.79	0.2
1	1.217514	0.02466	0.0099	87.8	27.23	
1	1.2749255	0.02544	0	87.6	1.183	0.13
1	1.3484954	0.02547	0.242	86.6	2.44	0
1	1.2198669	0.02555		87.67	4.1	
1	1.4857108	0.02591	0.011	87.2	2.45	0.26
2	1.6329	0.026				-0.051
1	1.5732918	0.02648	0	86.57	1.271	-0.08
1	1.6284279	0.0267	0.038	86.9	1.58	0.09
1	1.53736596	0.02677		83.15	2.361	-0.26
1	1.51214	0.027	0	79.6	7.6	0.05
4	1.620493	0.027				0.061
4	1.796302	0.027				-0.165
2	2.240508	0.027				-0.48
2	1.653888	0.027				-0.06
1	1.74748753	0.02712	0.126	87.13	2.17	0
1	1.7497798	0.0272	0	85.35	0.46	0.03
3	1.592851	0.0273				0.12
1	1.5449298	0.0274		77.55	2.01	-0.1
3	4.65627	0.02764	0.129		0.00359	-0.26
1	1.7429935	0.02798	0.0143	88.08	3.47	
3	1.729366	0.028				0.143
3	1.732342	0.028				-0.108
2	1.678327	0.028				-0.078
1	1.8053564	0.02803	0	87.5	6.1	0.103
3	3.149	0.02815	0		0.0053	-0.25
7	6.099615	0.02817	0.085	89.86	0.00195	0.04
1	1.5487743	0.02851	0.012	83.96	1.769	0.14
1	2.64561	0.0287	0.08	59	0.026	
1	1.7208604	0.02897		80.559	0.941	0.27
2	2.64977	0.029	0		0.00777	-0.16
3	1.611865	0.029				-0.023
3	2.549575	0.029				-0.042
3	1.897806	0.029				-0.441
5	2.211099	0.029				-0.201
1	2.64388312	0.0291	0.13827	86.44	0.07	
1	1.7554137	0.02918	0	83.63	1.272	0.32
1	1.9550959	0.02945	0.009	84.74	1.468	
1	1.9000693	0.0295	0.08	86.5	3.47	-0.1
2	2.019999	0.03				0.009
2	2.732756	0.03				0.207
1	2.455239	0.03	0.11	87	0.505	0.28
1	1.796	0.03			9.7	
1	1.7100566	0.03005	0	78.3	1.284	0.32
2	2.74697	0.03014				
1	1.689868	0.03035		83.4	1.18	0.37
1	1.9153073	0.03048	0.129	86.5	0.837	0.34
1	2.4855335	0.0308		79.8	4.5	
1	2.77065	0.0309				
1	3.3366487	0.031	0.017	88.88	0.043	0.18
2	1.772419	0.031				0.076
4	2.576549	0.031				-0.151
1	1.8555582	0.03101	0	82.51	0.56	0.38
1	2.152226	0.03138		84.81	0.915	0.1
1	1.8468355	0.0315	0.003	84.06	1.98	0
1	1.9616241	0.03159	0.134	86.2	1.484	0
1	2.1061607	0.03166	0.108	82.28	0.941	0.25
2	2.1461	0.03176	0.011		1.88	0.18
1	1.8209993	0.03199	0.306	86.9	1.222	0.21
2	2.39984	0.032		86.1		0.04
3	2.024152	0.032				-0.274
2	2.061897	0.032				0.1
3	2.092281	0.032				-0.298
2	2.75564	0.032				-0.149
2	2.453234	0.032				-0.748
2	2.139542	0.032				-0.169
3	2.248329	0.032				0.133
1	2.2359835	0.0323	0.047	83.3	2.44	0.12
2	2.90032	0.0328				
2	5.3636	0.03282	0.23		0.00636	-0.27
5	2.896	0.033				0
3	2.024823	0.033				-0.401
1	1.809886	0.033	0	88	0.92	0.23
1	2.07276	0.03303	0	88	1.32	0.23
1	2.14363544	0.0332	0	81.99	0.907	-0.12
1	2.3114243	0.0334	0	88.8	1.55	-0.07
1	2.00839	0.0335	0		0.618	0.23
1	2.1605156	0.03397	0.114	81.02	1.47	0.28
5	2.090876	0.034				0.143
3	2.382667	0.034				0.315
4	2.382961	0.034				-0.014
1	2.184673	0.03416	0	88.4	1.13	0.14
1	2.15000805	0.0343	0.0072	88.9		-0.04
5	3.8867907	0.0343				-0.26
3	2.50856	0.0344		85.83		0.1
1	3.06785234	0.0344	0.002	89.02	0.538	-0.13
1	4.6122	0.0345				
1	2.176423	0.0345	0.17	87	1.16	0.29
1	1.4811235	0.03462	0	86.79	2.88	-0.03
1	2.052868	0.0347	0	80.2	0.84	0.26
1	2.4238039	0.03473	0	86.02	0.889	
1	2.1746742	0.0348	0	83.75	0.805	0
1	2.849258	0.03486				
1	2.1375	0.035	0.008		1.5	0.257
3	2.53726	0.035				
2	2.422082	0.035				-0.083
3	3.306539	0.035				0.221
5	2.580827	0.035				0.077
2	2.461069	0.035				0.157
3	2.15491	0.035				0.17
1	2.6843285	0.03585	0.019	87.828	0.595	-0.1
1	2.245715	0.036	0		0.45	0.18
2	2.403679	0.036				-0.081
2	2.735926	0.036				-0.01
2	2.46236	0.036				-0.051
2	2.633867	0.036				-0.063
3	2.508553	0.036				-0.178
2	3.173315	0.036				-0.329
1	2.243752	0.036	0.091	84.32	7.341	
1	2.875317	0.0361	0.015	86.8	7.246	0.35
1	2.516729	0.0362	0.013	88.5	1.323	0.43
1	2.17517632	0.0362	0	83.2	0.89	
1	3.3252725	0.03623	0	88.21	0.319	0.2
1	2.49979	0.0363	0.058	85	1.23	0.14
1	1.763588	0.03641	0.00064	86.77	9.28	0.2
2	4.7234	0.036467	0.17		0.00371	0.09
1	2.0219596	0.0365		79.9	8	0.1
