                                             A ZAMS Stellar Model
                                             --------------------

                                             M    =     1.00000 solar
                                             L    =     0.85900 solar
                                             R    =     1.05991 solar
                                             Teff =  5402.00000 K
                                             X    =     0.70000
                                             Y    =     0.29200
                                             Z    =     0.00800



 zone      r         tau     1-M_r/Ms      L_r         T          P         rho        kap        eps    dlnPdlnT
    0  7.372E+08  0.000E+00  0.000E+00  3.298E+26  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  r 99.9
    1  7.364E+08  1.356E-01  3.908E-14  3.298E+26  3.167E+03  6.818E-01  1.548E-08  2.376E+01  9.409-108  r  1.0
    2  7.364E+08  1.356E-01  1.087E-13  3.298E+26  8.562E+03  5.669E+00  4.290E-08  1.686E+00  2.147E-79  c  1.7
    3  7.357E+08  1.356E-01  1.890E-13  3.298E+26  1.397E+04  1.143E+01  1.041E-08  1.299E-01  2.378E-69  c  1.4
    4  7.350E+08  1.356E-01  3.413E-13  3.298E+26  1.939E+04  2.244E+01  9.552E-08  2.136E-01  3.560E-62  c  2.3
    5  7.342E+08  1.356E-01  5.700E-13  3.298E+26  2.210E+04  3.900E+01  2.492E-08  9.525E-02  9.292E-63  r 99.9
    6  7.335E+08  1.356E-01  8.575E-13  3.298E+26  2.210E+04  5.992E+01  3.604E-08  8.602E-02  2.662E-60  r 99.9
    7  7.328E+08  1.356E-01  8.834E-13  3.298E+26  2.210E+04  6.181E+01  7.299E-10  3.629E-02  5.390E-62  r 99.9
    8  7.320E+08  1.356E-01  8.991E-13  3.298E+26  2.210E+04  6.295E+01  1.023E-08  5.299E-02  7.554E-61  r 99.9
    9  7.313E+08  1.356E-01  9.323E-13  3.298E+26  2.210E+04  6.540E+01  1.781E-08  6.359E-02  1.315E-60  r 99.9
   10  7.305E+08  1.356E-01  9.932E-13  3.298E+26  2.210E+04  6.992E+01  3.328E-08  8.281E-02  2.457E-60  r 99.9
   11  7.298E+08  1.356E-01  1.107E-12  3.298E+26  2.210E+04  7.835E+01  6.195E-08  1.143E-01  4.575E-60  r 99.9
   12  7.291E+08  1.356E-01  1.318E-12  3.298E+26  2.210E+04  9.408E+01  1.155E-07  1.662E-01  8.532E-60  r 99.9
   13  7.283E+08  1.356E-01  1.711E-12  3.298E+26  2.210E+04  1.235E+02  2.156E-07  2.519E-01  1.594E-59  r 99.9
   14  7.276E+08  1.356E-01  2.444E-12  3.298E+26  2.210E+04  1.786E+02  4.029E-07  3.934E-01  2.984E-59  r 99.9
   15  7.269E+08  1.356E-01  3.812E-12  3.298E+26  2.210E+04  2.818E+02  7.539E-07  6.273E-01  5.616E-59  r 99.9
   16  7.261E+08  1.356E-01  6.367E-12  3.298E+26  2.211E+04  4.753E+02  1.411E-06  1.013E+00  1.070E-58  r 99.9
   17  7.254E+08  1.356E-01  1.114E-11  3.298E+26  2.214E+04  8.383E+02  2.641E-06  1.644E+00  2.109E-58  r 99.9
   18  7.246E+08  1.356E-01  2.004E-11  3.298E+26  2.223E+04  1.518E+03  4.928E-06  2.651E+00  4.600E-58  r 99.9
   19  7.239E+08  1.356E-01  3.653E-11  3.298E+26  2.248E+04  2.783E+03  9.092E-06  4.143E+00  1.328E-57  r 52.1
   20  7.232E+08  1.356E-01  6.649E-11  3.298E+26  2.313E+04  5.089E+03  1.630E-05  5.967E+00  7.340E-57  r 20.5
   21  7.224E+08  1.356E-01  1.187E-10  3.298E+26  2.447E+04  9.126E+03  2.773E-05  7.477E+00  1.114E-55  r 10.0
   22  7.217E+08  1.356E-01  2.044E-10  3.298E+26  2.654E+04  1.578E+04  4.421E-05  8.147E+00  3.925E-54  r  6.5
   23  7.210E+08  1.356E-01  3.368E-10  3.298E+26  2.911E+04  2.609E+04  6.662E-05  8.166E+00  1.784E-52  r  5.2
   24  7.202E+08  1.356E-01  5.313E-10  3.298E+26  3.194E+04  4.131E+04  9.612E-05  7.921E+00  6.849E-51  r  4.8
   25  7.195E+08  1.356E-01  8.063E-10  3.298E+26  3.489E+04  6.292E+04  1.340E-04  7.604E+00  1.950E-49  r  4.6
   26  7.187E+08  1.356E-01  1.183E-09  3.298E+26  3.790E+04  9.267E+04  1.817E-04  7.281E+00  4.101E-48  r  4.5
   27  7.180E+08  1.356E-01  1.687E-09  3.298E+26  4.094E+04  1.326E+05  2.407E-04  6.976E+00  6.553E-47  r  4.5
   28  7.173E+08  1.356E-01  2.346E-09  3.298E+26  4.400E+04  1.850E+05  3.126E-04  6.695E+00  8.230E-46  r  4.5
   29  7.165E+08  1.356E-01  3.193E-09  3.298E+26  4.708E+04  2.526E+05  3.990E-04  6.437E+00  8.385E-45  r  4.5
   30  7.158E+08  1.356E-01  4.262E-09  3.298E+26  5.016E+04  3.384E+05  5.017E-04  6.202E+00  7.122E-44  r  4.5
   31  7.151E+08  1.356E-01  5.595E-09  3.298E+26  5.326E+04  4.457E+05  6.225E-04  5.987E+00  5.162E-43  r  4.5
   32  7.143E+08  1.356E-01  7.235E-09  3.298E+26  5.636E+04  5.784E+05  7.633E-04  5.790E+00  3.255E-42  r  4.5
   33  7.136E+08  1.356E-01  9.232E-09  3.298E+26  5.947E+04  7.405E+05  9.263E-04  5.609E+00  1.815E-41  r  4.5
   34  7.129E+08  1.356E-01  1.164E-08  3.298E+26  6.258E+04  9.366E+05  1.113E-03  5.441E+00  9.073E-41  r  4.5
   35  7.121E+08  1.356E-01  1.451E-08  3.298E+26  6.571E+04  1.172E+06  1.327E-03  5.286E+00  4.115E-40  r  4.6
   36  7.114E+08  1.356E-01  1.791E-08  3.298E+26  6.884E+04  1.452E+06  1.569E-03  5.141E+00  1.710E-39  r  4.6
