					Effective		
Mass (M_sun)		Temperature (K)	
	0.5					2287.7
	0.6					2862.3
	0.7					3465.5
	0.75				3788.5
	0.8					4109.3
	0.9					4755.5
	1.0					5402.0
	1.1					6117.0
	1.2					6802.3
	1.3					7458.6
	1.4					8062.9
	1.5					8644.6
	1.6					9146.0
	1.7					9596.3
	1.75				9852.6
	1.8				   10074.2
	1.9				   10546.0
	2.0				   10952.6
	2.25			   11950.9
	2.5				   12903.1
	2.75			   13811.0
	3.0				   14671.0
	3.25			   15479.5
	3.5				   16236.5
	3.75			   16957.0
	4.0				   17639.0
	4.25			   18289.4
	4.5				   18906.2
	4.75			   19498.7
	5.0				   20069.0
	5.25			   20601.5
	5.5				   21072.0
	5.75			   21585.8
	6.0				   22089.0
	6.5				   22982.7
	7.0				   23810.0
	7.5				   24613.0
	8.0				   25366.5
	8.5				   26052.5
	9.0				   26722.0
	9.5				   27330.0
   10.0				   27933.0
   10.5				   28523.0
   11.0				   29109.5
   11.5				   29648.0
   12.0				   30149.0
   12.5				   30627.0
   13.0				   31096.0
   13.5				   31532.1
   13.75			   31768.3
   14.0				   32009.5
   14.5				   32449.7
   15.0				   32873.3
